Segment #	CM Energy (MeV)	CM Angle (degrees)	CM Cross Section (barns)	Chi-Squared of Point
2	2.72957	73.9396	0.0811254	0.104295
2	2.7373	73.9396	0.0800376	0.00638588
2	2.7532	73.9396	0.0791172	0.0253671
2	2.76394	73.9396	0.0782176	0.0162295
2	2.78414	73.9396	0.078385	0.893361
2	2.79574	73.9396	0.0738455	0.279518
2	2.81594	73.9396	0.0756445	1.72449
2	2.82754	73.9396	0.0721928	0.254952
2	2.85204	73.9396	0.069285	1.21964
2	2.86708	73.9396	0.064369	0.0781129
2	2.88641	73.9396	0.0603734	0.762572
2	2.89372	73.9396	0.057089	0.0836267
2	2.91091	73.9396	0.0520056	0.438176
2	2.92036	73.9396	0.0490978	1.40333
2	2.9311	73.9396	0.0445583	0.382744
2	2.94142	73.9396	0.0409183	0.521013
2	2.9556	73.9396	0.0392866	4.37292
2	2.97451	73.9396	0.0383662	0.925406
2	2.98869	73.9396	0.0414413	1.38653
2	2.999	73.9396	0.0449139	1.54805
2	3.01189	73.9396	0.0489096	0.0269589
2	3.02178	73.9396	0.0543486	0.786726
2	3.04412	73.9396	0.0607081	0.000961865
2	3.06733	73.9396	0.0652685	0.482616
2	3.0901	73.9396	0.0692641	0.268786
2	3.11116	73.9396	0.0723393	0.0070361
2	3.13479	73.9396	0.075791	0.598684
2	3.17089	73.9396	0.0759793	0.132318
2	3.20312	73.9396	0.0768788	0.383907
2	3.23492	73.9396	0.0766905	0.324218
2	3.26242	73.9396	0.0777783	1.27854
2	1.40647	90.0313	0.0770488	5.16047
2	1.40389	90.0313	0.0741935	1.03495
2	1.43096	90.0313	0.0717959	0.315819
2	1.48596	90.0313	0.0691804	0.28935
2	1.51561	90.0313	0.0672406	0.0453227
2	1.5414	90.0313	0.0670226	0.384611
2	1.56847	90.0313	0.064843	0.00280646
2	1.5964	90.0313	0.0633173	0.0451516
2	1.62476	90.0313	0.0629032	0.00792267
2	1.65184	90.0313	0.0605056	0.537246
2	1.6802	90.0313	0.0620531	0.360085
2	1.70813	90.0313	0.0609633	0.229064
2	1.7352	90.0313	0.0585658	0.174773
2	1.76227	90.0313	0.0583696	0.00988869
2	1.79192	90.0313	0.0570618	0.161165
2	1.81857	90.0313	0.05619	0.267538
2	1.84693	90.0313	0.0551002	0.579599
2	1.87658	90.0313	0.054904	0.206715
2	1.90494	90.0313	0.054272	0.201636
2	1.93416	90.0313	0.0525283	1.3479
2	1.96381	90.0313	0.0542938	0.121093
2	1.99217	90.0313	0.0516782	0.896343
2	2.02311	90.0313	0.0512641	0.680413
2	2.06651	90.0313	0.0499564	1.30987
2	2.09616	90.0313	0.0501961	0.422924
2	2.12538	90.0313	0.0506538	4.9294e-05
2	2.15632	90.0313	0.0489102	0.705501
2	2.18726	90.0313	0.0473844	2.15857
2	2.2182	90.0313	0.0487358	0.0817438
2	2.24871	90.0313	0.0482999	0.0738241
2	2.28094	90.0313	0.0481037	0.00389451
2	2.31188	90.0313	0.0476896	0.00575337
2	2.34239	90.0313	0.04551	1.15328
2	2.37204	90.0313	0.0457279	0.543284
2	2.40556	90.0313	0.0453138	0.928905
2	2.43865	90.0313	0.0448997	0.789069
2	2.46959	90.0313	0.0442458	1.65864
2	2.50182	90.0313	0.0444856	0.597665
2	2.53405	90.0313	0.0445074	0.22378
2	2.56713	90.0313	0.0440715	0.605274
2	2.60065	90.0313	0.0438753	0.4391
2	2.63503	90.0313	0.0436791	0.496083
2	2.65566	90.0313	0.0437009	1.57024
2	2.66597	90.0313	0.0443548	0.301716
2	2.68917	90.0313	0.0463382	0.181842
2	2.70078	90.0313	0.0465562	0.181357
2	2.71882	90.0313	0.0452484	0.56677
2	2.73386	90.0313	0.0452702	1.1215
2	2.76351	90.0313	0.0481255	0.0175866
2	2.75449	90.0313	0.0489973	0.655517
2	2.7893	90.0313	0.049891	0.0646028
2	2.80047	90.0313	0.0525283	0.495329
2	2.8211	90.0313	0.0549694	0.211626
2	2.83399	90.0313	0.0589145	1.80018
2	2.85676	90.0313	0.0617698	0.0641209
2	2.86837	90.0313	0.0659546	0.0133009
2	2.88985	90.0313	0.0777898	0.547161
2	2.90017	90.0313	0.0850479	1.18202
2	2.91306	90.0313	0.0925021	0.116231
2	2.92423	90.0313	0.100806	0.00116178
2	2.93325	90.0313	0.112009	0.745179
2	2.94572	90.0313	0.120989	0.0112575
2	2.95732	90.0313	0.130492	0.00802123
2	2.96978	90.0313	0.136203	0.0684126
2	2.9672	90.0313	0.14139	1.52327
2	2.98009	90.0313	0.138797	0.041737
2	2.99041	90.0313	0.137903	0.0270247
2	3.00072	90.0313	0.135309	0.0346757
2	2.98912	90.0313	0.135702	0.613553
2	3.00201	90.0313	0.131103	0.502898
2	3.01232	90.0313	0.125196	0.412141
2	3.02306	90.0313	0.115802	1.48948
2	3.04627	90.0313	0.100501	1.13378
2	3.06561	90.0313	0.0910418	0.191761
2	3.0901	90.0313	0.0794463	0.467188
2	3.11459	90.0313	0.07221	0.122421
2	3.13651	90.0313	0.0665213	0.288618
2	3.17003	90.0313	0.0599607	0.914568
2	3.20355	90.0313	0.0575632	9.26967e-05
2	3.23706	90.0313	0.0545117	0.00442551
2	1.40733	104.593	0.04794	2.34574
2	1.43311	104.593	0.0450812	0.0518184
2	1.45889	104.593	0.0452791	0.779555
2	1.48725	104.593	0.0439597	0.324733
2	1.51304	104.593	0.043278	0.495238
2	1.5414	104.593	0.0428162	0.831715
2	1.56675	104.593	0.0421345	0.826255
2	1.59511	104.593	0.0410349	0.29671
2	1.62347	104.593	0.040793	0.815441
2	1.65055	104.593	0.0396715	0.211952
2	1.6802	104.593	0.0403312	1.85113
2	1.70598	104.593	0.03833	0.0401832
2	1.73434	104.593	0.0383081	0.406636
2	1.76141	104.593	0.038506	0.797947
2	1.78934	104.593	0.0365268	0.0281224
2	1.81771	104.593	0.0382421	2.16008
2	1.81642	104.593	0.036065	0.0396703
2	1.84349	104.593	0.0371425	0.794801
2	1.87443	104.593	0.0349215	0.262051
2	1.9015	104.593	0.036021	0.305654
2	1.92986	104.593	0.0346796	0.0892253
2	1.9608	104.593	0.0350974	0.0799057
2	1.99174	104.593	0.0344157	0.00168122
2	2.02139	104.593	0.0339539	0.085562
2	2.05061	104.593	0.0341518	0.000728801
2	2.07253	104.593	0.0345696	0.303042
2	2.10218	104.593	0.03369	0.0219235
2	2.13312	104.593	0.0338879	0.00410406
2	2.16277	104.593	0.0334261	0.0956414
2	2.19371	104.593	0.033624	0.0118174
2	2.22594	104.593	0.0329423	0.64123
2	2.25559	104.593	0.03358	0.0939497
2	2.28782	104.593	0.03358	0.208958
2	2.31876	104.593	0.0337779	0.116703
2	2.34927	104.593	0.0337559	0.400957
2	2.37892	104.593	0.0343937	0.252896
2	2.41244	104.593	0.0326124	4.64769
2	2.44466	104.593	0.0347895	1.46607
2	2.4756	104.593	0.0358671	0.463882
2	2.50912	104.593	0.036065	1.15442
2	2.54006	104.593	0.0373405	1.22071
2	2.57229	104.593	0.0403972	0.0279617
2	2.60452	104.593	0.0421345	0.023262
2	2.64062	104.593	0.043212	0.769418
2	2.67284	104.593	0.0447294	2.63048
2	2.70507	104.593	0.0490836	0.586993
2	2.71925	104.593	0.0528	0.00744456
2	2.73988	104.593	0.0567364	0.0458752
2	2.77254	104.593	0.0637515	0.0246871
2	2.80348	104.593	0.0724818	0.0441266
2	2.84258	104.593	0.0957042	2.37229
2	2.86364	104.593	0.109097	1.10184
2	2.88684	104.593	0.126205	0.0139579
2	2.91091	104.593	0.152199	0.275146
2	2.9238	104.593	0.168912	0.193674
2	2.93325	104.593	0.182106	0.0178068
2	2.94529	104.593	0.190595	0.678575
2	2.95431	104.593	0.192794	2.17985
2	2.97236	104.593	0.191694	2.26194
2	2.98998	104.593	0.179599	0.126572
2	2.99986	104.593	0.164909	0.0200024
2	3.01232	104.593	0.141907	0.160922
2	3.02349	104.593	0.121499	0.63738
2	3.03338	104.593	0.105204	1.41363
2	3.05701	104.593	0.0797828	0.000704537
2	3.07979	104.593	0.0604748	0.039175
2	3.1017	104.593	0.0492815	0.0964462
2	3.12577	104.593	0.0393856	0.259125
2	3.14768	104.593	0.0345476	0.087954
2	3.17089	104.593	0.0305893	0.145889
2	3.20398	104.593	0.0261911	1.08428
2	3.23749	104.593	0.0235302	2.19805
2	3.26972	104.593	0.0211002	7.55722
2	1.40819	125.318	0.0343493	1.15525
2	1.43397	125.318	0.0312655	0.0517557
2	1.45975	125.318	0.0325676	1.29446
2	1.48768	125.318	0.0316767	0.921761
2	1.51476	125.318	0.0312141	0.561298
2	1.54183	125.318	0.0314369	1.05369
2	1.56761	125.318	0.0309743	0.871254
2	1.59425	125.318	0.0300834	0.41167
2	1.62261	125.318	0.0289699	0.000280322
2	1.65098	125.318	0.0291755	0.139367
2	1.67891	125.318	0.029381	0.717283
2	1.70469	125.318	0.0282675	5.00586e-06
2	1.73176	125.318	0.0286958	0.306434
2	1.75969	125.318	0.0278049	0.01407
2	1.78806	125.318	0.0273595	0.164306
2	1.81513	125.318	0.0280105	0.0245723
2	1.84349	125.318	0.0273252	0.0369271
2	1.87142	125.318	0.0277535	0.0297053
